sys.id,fields.title,fields.slug,fields.glossaryTerms
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k000000oZ8gCAE_en_US_3,Upload and Build Tags in Tag Manager,upload-and-build,"Total Tracked Ads
Total Tracked Ads - Campaign Monitoring
Total Eligible Ads for Brand Safety
Measured Ads
Total Visibility Tracked Ads
Unmeasured Ads"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k000000oanMCAQ_en_US_3,"Partner Measurement for Snapchat, Pinterest, Facebook, Twitter, YouTube, and Verizon Media",partner-measurement,"Measured Ads
Total Visibility Tracked Ads
Total Tracked Ads
Measured Video Ads
Measured Ads - Quality Attention Visibility
Measured Display Ads"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k000000oZLGCA2_en_US_3,Multimedia Tag (MMT) Getting Started Guide,uvt-guide,"Measured Video Ads
Measured Ads
Unmeasured Ads
Total Eligible Ads for Brand Safety
Total Tracked Ads - CTV
Total Tracked Ads"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k000000oZLfCAM_en_US_3,YouTube Brand Safety Reporting Getting Started Guide,youtube-brand-safety-guide,"Total Eligible Ads for Brand Safety
Total Eligible Ads for Brand Safety - Brand Safety Risk Categories
Total Eligible Ads for Brand Safety - YouTube GARM
Brand Safety Risk Ads
Fail Rate
Total Eligible Ads for Brand Safety & Suitability - Meta GARM"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k000000VraRCAS_en_US_3,Programmatic Reporting Activation and User Guide,programmatic-guide,"Total Visibility Tracked Ads
Total Tracked Ads
Measured Ads
Total Eligible Ads for Brand Safety
Total Visibility Tracked Spend (USD)
Measured Display Ads"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k000000oZ8DCAU_en_US_3,How are IAS Tags Structured?,tag-structures,"Measured Video Ads
Measured Ads - Quality Attention Visibility
Measured Display Ads
Measured Ads
Unmeasured Ads
Total Tracked Ads"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k000000oZLaCAM_en_US_3,Tag Manager - User Guide,tag-manager-guide,"Total Tracked Ads
Measured Ads
Total Tracked Ads - Campaign Monitoring
Total Visibility Tracked Ads
Unmeasured Ads
Measured Ads - Quality Attention Visibility"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k0000003lj3CAA_en_US_3,How to activate Meta Integration,activate-fb-integration,"Total Eligible Ads for Brand Safety
Measured Video Ads
Measured Ads - Viewability (Industry Std)
Measured Display Ads
Measured Ads
Measured Ads - Quality Attention Visibility"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k000000oaevCAA_en_US_3,DSP User Guide: DV360,dv-360,"Total Eligible Ads for Brand Safety
Total Eligible Ads for Brand Safety - Brand Safety Risk Categories
Measured Ads - Quality Attention Visibility
Measured Ads - Viewability (Industry Std)
Total Visibility Tracked Ads
Measured Ads"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/17eGBDtEMqsZNeVKy4iDE0,Customer Guide: TikTok + IAS,activate-tiktok-tags,"Total Eligible Ads for Brand Safety - Brand Safety Risk Categories
Total Eligible Ads for Brand Safety
Total Tracked Ads - TikTok Brand Safety and Suitability
Eligible Ads For Quality Impressions (when Quality criteria includes Viewability)
Eligible Ads For Quality Impressions™ (when Quality criteria includes Viewability)
Gross Eligible Impressions"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k0000003ljSCAQ_en_US_3,Customer Activation Guide: Pinterest,pinterest-integration,"Total Eligible Ads for Brand Safety
Interaction Score
Measured Ads
Total Visibility Tracked Ads
Measured Ads - Quality Attention Visibility
Total Tracked Ads"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k0000003lj8CAA_en_US_3,How to enable Third Party Measurement for a YouTube Campaign,youtube-integration,"Measured Ads
Total Eligible Ads for Brand Safety
Measured Video Ads
Measured Ads - Viewability (Industry Std)
Unmeasured Ads
Measured Ads - Quality Attention Visibility"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k0000003lmlCAA_en_US_3,Campaign Creation Integration with Google CM 360 Getting Started Guide,campaign-creation-cm360,"Total Tracked Ads - Campaign Monitoring
Total Tracked Ads
Continuous Play Unconfigured Ads
Measured Ads
Measured Video Ads
Measured Ads - Quality Attention Visibility"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k0000005ym9CAA_en_US_3,Automated Tag Getting Started Guide,automated-tag-getting-started,"Total Tracked Ads
Unmeasured Ads
Total Tracked Ads - Campaign Monitoring
Measured Ads
MFA Ads
% Adult Ads"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k000000oZ7uCAE_en_US_3,Create Reports with Report Builder,creating-reports,"Total Eligible Ads for Brand Safety
Total Tracked Ads
Measured Ads
Measured Display Ads
Total Visibility Tracked Ads
Measured Ads - Quality Attention Visibility"
